Datetime,AQI
2020-04-23,86.05984797674938
2020-04-24,86.27199626329404
2020-04-25,86.47670307559643
2020-04-26,85.9720651179806
2020-04-27,68.55771054900833
2020-04-28,72.73808254935015
2020-04-29,87.53570148161697
2020-04-30,100.64848388577076
2020-05-01,95.04545454545455
2020-05-02,86.4465803671587
2020-05-03,79.68315212375168
2020-05-04,70.29523809523809
2020-05-05,78.76363636363637
2020-05-06,87.29024693616243
2020-05-07,79.9377483951327
2020-05-08,94.22135454234842
2020-05-09,100.36036036036036
2020-05-10,96.83185840707965
2020-05-11,76.10614427304569
2020-05-12,86.17856496778838
2020-05-13,99.78115602707152
2020-05-14,100.41818181818182
2020-05-15,88.31818181818181
2020-05-16,95.14414414414415
2020-05-17,104.39252336448598
2020-05-18,111.36785074080849
2020-05-19,105.04835027866312
2020-05-20,104.3315361193711
2020-05-21,99.0666391204369
2020-05-22,114.20988739454269
2020-05-23,110.9050773107111
2020-05-24,106.15592483472263
2020-05-25,96.5398534061512
2020-05-26,97.46785074080849
2020-05-27,99.1648534061512
2020-05-28,107.29709984042184
2020-05-29,80.8283664952679
2020-05-30,75.04057801353576
2020-05-31,66.6086956521739
2020-06-01,70.09512346808121
2020-06-02,81.54057801353576
2020-06-03,83.24503316193457
2020-06-04,77.16339452645074
2020-06-05,68.17378197757976
2020-06-06,67.21649187158349
2020-06-07,70.48197859724719
2020-06-08,74.00835281962043
2020-06-09,89.23918976041121
2020-06-10,92.49090816082938
2020-06-11,87.1957782408738
2020-06-12,87.00403114338204
2020-06-13,85.37206511798061
2020-06-14,76.88324763395185
2020-06-15,75.91184169235596
2020-06-16,78.16316519808505
2020-06-17,76.24904161812982
2020-06-18,78.32491736131071
2020-06-19,85.45953241573334
2020-06-20,84.83011809990377
2020-06-21,73.10421437717213
2020-06-22,69.10421437717213
2020-06-23,65.7453757024908
2020-06-24,63.42888125211446
2020-06-25,65.48719651240778
2020-06-26,74.24521054900833
2020-06-27,74.83610823821434
2020-06-28,93.25642866206246
2020-06-29,94.44266299551695
2020-06-30,70.34316157816464
2020-07-01,76.9139073758792
2020-07-02,81.2
2020-07-03,86.3859649122807
2020-07-04,69.88392857142857
2020-07-05,54.885714285714286
2020-07-06,57.54081632653061
2020-07-07,55.3177570093458
2020-07-08,50.13084112149533
2020-07-09,57.43518518518518
2020-07-10,62.08571428571429
2020-07-11,57.68867924528302
2020-07-12,56.0
2020-07-13,53.883495145631066
2020-07-14,73.98148148148148
2020-07-15,72.78095238095239
2020-07-16,55.7962962962963
2020-07-17,55.79090909090909
2020-07-18,59.0
2020-07-19,53.575471698113205
2020-07-20,55.320388349514566
2020-07-21,49.63636363636363
2020-07-22,50.93457943925234
2020-07-23,58.06306306306306
2020-07-24,62.39090909090909
2020-07-25,55.574074074074076
2020-07-26,56.20754716981132
2020-07-27,62.76635514018692
2020-07-28,61.689655172413794
2020-07-29,58.04424778761062
2020-07-30,53.24107142857143
2020-07-31,57.607142857142854
2020-08-01,59.410714285714285
2020-08-02,55.6605504587156
2020-08-03,57.06730769230769
2020-08-04,57.611111111111114
2020-08-05,58.11009174311926
2020-08-06,53.96296296296296
2020-08-07,50.48245614035088
2020-08-08,56.85217391304348
2020-08-09,55.669642857142854
2020-08-10,52.67567567567568
2020-08-11,56.4954954954955
2020-08-12,53.01754385964912
2020-08-13,48.629629629629626
2020-08-14,48.75471698113208
2020-08-15,53.56481481481482
2020-08-16,53.73076923076923
2020-08-17,54.765765765765764
2020-08-18,53.86486486486486
2020-08-19,50.910714285714285
2020-08-20,50.589285714285715
2020-08-21,47.08490566037736
2020-08-22,47.07272727272727
2020-08-23,47.205607476635514
2020-08-24,44.22935779816514
2020-08-25,50.464285714285715
2020-08-26,50.22727272727273
2020-08-27,52.2962962962963
2020-08-28,53.20183486238532
2020-08-29,52.61538461538461
2020-08-30,51.44859813084112
2020-08-31,47.4811320754717
2020-09-01,53.47787610619469
2020-09-02,57.3421052631579
2020-09-03,61.36363636363637
2020-09-04,61.94444444444444
2020-09-05,67.18691588785046
2020-09-06,64.98230088495575
2020-09-07,60.86842105263158
2020-09-08,59.693693693693696
2020-09-09,73.51818181818182
2020-09-10,78.27027027027027
2020-09-11,90.85714285714286
2020-09-12,83.87962962962963
2020-09-13,86.94444444444444
2020-09-14,83.14814814814815
2020-09-15,87.14159292035399
2020-09-16,90.75221238938053
2020-09-17,83.33628318584071
2020-09-18,77.35185185185185
2020-09-19,78.66666666666667
2020-09-20,88.07272727272728
2020-09-21,85.00961538461539
2020-09-22,74.67567567567568
2020-09-23,58.9537037037037
2020-09-24,60.73684210526316
2020-09-25,81.1858407079646
2020-09-26,95.44036697247707
2020-09-27,76.14414414414415
2020-09-28,92.87610619469027
2020-09-29,109.16666666666667
2020-09-30,106.03448275862068
2020-10-01,106.67826086956522
2020-10-02,110.17241379310344
2020-10-03,114.35714285714286
2020-10-04,110.88990825688073
